9741A0F330DC2E8619B76A2597F308C37DBE30A2;Samsung Android
D6A6DCED4A85F24204BF9505CCC1FCE114CADB32;Spotify
A342C54603E6F4ECA5090B719ECD5FBFF6A5C700;Babel
FABA42561BE52057F670B4412FD513EF687CA47A;NordVPN
9CA5170F381919DFE0446FCDAB18B19A143B3163;Samsung Android
BA141746D704B96ED4DBC24D02D44BB2A3908512;Samsung Android
400109E567834ED13EA945D42EE4F75EF2E01E1F;Samsung Voice Service
3D3A8FEF5A54C5FBD9D403222750A24260FEABEB;Google Play Services for Instant Apps
38918A453D07199354F8B19AF05EC6562CED5788;Google Android
443CB997718D0AC5162888BAE5E4724582862676;LinkedIn
7DC83CD2ABE833560C2896626E307041C0DF3A7A;Microsoft Office
8A3C4B262D721ACD49A4BF97D5213199C86FA2B9;Facebook
C56FB7D591BA6704DF047FD98F535372FEA00211;Instagram
D7268D869BE7D87CB797E8F7449BF2451ED8019B;Netflix
40F3166BB567D3144BCA7DA466BB948B782270EA;Twitter
411C40B31F6D01DAC68D711DF99B6EAFEEC8E73B;Uber
025D5212BF3B5F5CDA6117A518721D70A94D84E0;Huawei
